champion,kills,deaths,assists,gold,damage,win,duration
Orianna,5,13,26,12568,74513,0,1295
Zoe,16,10,24,15635,108137,0,1295
Teemo,4,13,26,12596,64459,0,1295
Mordekaiser,7,9,4,10750,71323,0,1352
Urgot,5,6,6,10750,70072,0,1352
Mordekaiser,11,11,10,14275,101726,1,1464
Urgot,11,6,10,14260,100067,1,1464
Mordekaiser,7,5,5,10764,97769,1,1521
Urgot,5,8,6,18238,68897,1,1521
Swain,8,6,7,12731,140320,0,1805
Lux,6,5,7,9686,58369,0,1805
Swain,8,1,11,13280,160427,1,1549
Pantheon,10,2,8,9591,41741,1,1549
Samira,11,10,7,12680,109311,0,1376
Rell,5,4,13,12477,24845,0,1376
Urgot,0,5,17,16010,35557,1,1484
Mordekaiser,20,7,0,18180,136470,1,1484
Ornn,1,7,2,12100,14313,0,1641
Pyke,2,7,1,11750,32843,0,1641
Naafiri,5,10,5,10509,54343,0,1361
Yorick,6,6,5,12518,65807,0,1361
Bard,6,7,38,15094,92811,1,1371
Volibear,6,8,35,14459,58322,1,1371
Xayah,1,8,1,6520,32813,0,1384
Gangplank,4,6,2,8281,114582,0,1384
Jayce,2,8,4,11300,18665,0,1384
Yone,4,6,3,9800,87142,0,1726
Hwei,0,6,2,6500,18104,0,1726
Darius,4,6,3,9800,25808,0,1726
TahmKench,7,3,3,7258,22416,0,1379
Galio,3,4,7,7258,30977,0,1379
Vex,4,5,3,13250,15442,0,1379
Aatrox,10,5,6,20900,96087,1,1702
DrMundo,12,2,13,22550,117662,1,1702
Pantheon,13,7,10,25575,75736,1,1702
Yasuo,14,4,7,18760,230235,1,1205
Vi,9,4,11,19510,45177,1,1205
Warwick,5,7,3,7000,63329,0,1487
TwistedFate,1,7,8,7971,21178,0,1487
Nunu,11,10,31,13987,104097,1,1220
Taric,13,7,38,14034,34968,1,1220
Jinx,6,12,15,10444,42935,0,1047
Zilean,14,10,10,12140,46641,0,1047
Jhin,16,13,18,15156,139421,0,1101
Renata,6,11,28,11440,39588,0,1101
Vex,16,13,38,14218,93879,1,1099
Neeko,9,12,37,12795,63871,1,1099
Illaoi,19,7,33,13724,123439,1,1028
Taliyah,14,6,36,13464,76108,1,1028
Milio,4,5,43,12985,64928,0,1305
Morgana,7,8,38,13255,55753,0,1305
Kayle,9,11,29,13173,77026,0,1082
Sona,1,9,40,10476,28926,0,1082
Caitlyn,6,9,14,10776,45668,0,998
Lulu,2,8,29,10120,19572,0,998
Leona,5,10,39,16124,42723,1,1622
Smolder,21,13,33,20609,195687,1,1622
Ashe,1,7,1,6250,31555,0,1641
Singed,1,7,1,6250,22125,0,1641
Soraka,6,9,46,13367,24261,1,1273
DrMundo,15,6,34,16668,154385,1,1273
Mordekaiser,0,0,3,2004,976,1,118
Caitlyn,1,1,3,2331,3651,1,118
Blitzcrank,14,11,22,16266,57017,1,1361
Kayle,12,12,23,17054,111506,1,1361
Xerath,2,7,2,6750,17127,0,1389
Xerath,9,4,8,15000,69654,0,1389
Brand,8,5,9,15000,33590,0,1389
Kled,10,7,13,20756,138179,1,1589
Nami,8,7,12,18250,52050,1,1589
Maokai,13,5,4,19060,120926,1,1564
Volibear,4,10,12,19015,31871,1,1564
Samira,26,15,17,20928,198972,1,1320
Leona,6,11,22,13490,53340,1,1320
Mel,38,11,31,21447,154519,0,1610
Nami,4,6,68,15713,66252,0,1610
Morgana,8,19,53,18307,109569,1,1681
Annie,21,21,26,19026,97351,1,1681
Gragas,14,6,18,11506,54666,1,874
Yuumi,6,4,35,9980,14829,1,874
Zoe,17,4,7,21505,142896,1,1512
Yone,6,9,18,21400,46772,1,1512
LeeSin,12,8,13,26762,141086,1,1584
Rell,14,3,12,16738,72390,1,1584
Heimerdinger,9,4,7,14000,61679,1,1454
Evelynn,7,8,8,16125,31536,1,1454
Gragas,9,6,6,15659,107463,1,1512
Lucian,6,8,7,17152,37273,1,1512
Ekko,7,10,3,14470,64631,0,1430
Azir,2,9,10,11025,27018,0,1430
Kalista,15,8,9,18250,183897,1,1584
Rell,9,4,15,20750,94327,1,1584
Lillia,7,6,9,6571,18619,0,526
Nunu,8,6,17,7065,20880,0,526
Vex,2,7,6,10555,53530,0,1489
Gwen,7,6,2,10571,105006,0,1489
TahmKench,5,4,9,10750,44870,1,1445
Gragas,9,5,4,10750,111553,1,1445
Ashe,8,10,5,13500,157501,1,1256
Malphite,6,5,8,13537,92171,1,1256
Rengar,5,8,0,7500,93285,0,1425
Vi,0,7,4,11000,6596,0,1425
Pantheon,12,5,10,25000,237699,1,1656
Velkoz,11,7,10,25000,81169,1,1656
Karthus,15,7,6,22750,158360,1,1513
Lux,7,8,14,18750,42676,1,1513
Veigar,19,4,17,14779,114155,1,1087
Syndra,7,5,18,12087,48321,1,1087
Heimerdinger,10,4,37,16379,130620,1,1369
Brand,6,13,30,14335,103802,1,1369
DrMundo,16,5,29,12711,64301,1,873
Rakan,1,7,55,9630,18768,1,873
Poppy,2,6,4,7030,38343,0,1547
Gwen,4,7,2,7000,18636,0,1547
Galio,16,5,7,22600,124027,1,1482
Chogath,10,6,6,16510,120064,1,1287
Veigar,7,8,9,15015,101107,1,1287
Chogath,14,5,12,19190,154437,1,1595
Zilean,13,7,11,24080,85761,1,1595
Urgot,8,5,10,15750,70862,1,1560
Elise,11,9,8,15790,58212,1,1560
Urgot,12,6,8,16427,101609,1,1585
DrMundo,7,7,14,13898,120506,1,1585
Evelynn,9,7,3,10820,77972,0,1445
Gwen,2,7,13,10800,23355,0,1445
Urgot,6,5,5,14250,104151,0,1315
Taric,5,5,6,10250,38553,0,1315
Corki,15,6,2,17270,110670,1,1299
Ornn,2,5,15,15250,19941,1,1299
Urgot,13,4,10,22738,95815,1,1578
TwistedFate,11,10,11,29982,63745,1,1578
Chogath,4,6,3,9900,63725,0,1436
Vex,19,4,5,21000,90896,1,1456
Fiora,0,6,0,5750,5824,0,1456
Galio,7,7,2,7750,47959,0,1513
Zac,3,7,7,14000,21377,0,1513
Tristana,5,8,2,11000,28457,0,1539
Rengar,1,6,3,7000,9368,0,1539
Yuumi,1,4,3,4000,3174,0,1172
Urgot,3,3,1,4000,10947,0,1172
Hwei,3,4,1,4000,12999,0,1172
Vayne,10,11,3,12750,99652,1,1541
Urgot,6,8,5,10250,37147,0,1541
Elise,5,12,5,11222,30313,0,1541
Mordekaiser,3,6,1,4260,13487,0,1148
Urgot,0,4,1,3750,11446,0,1148
Thresh,2,4,3,4250,5498,0,1148
MissFortune,7,5,7,12100,160746,1,1686
Quinn,9,7,6,14165,216424,1,1686
Darius,2,6,2,7010,8030,0,1686
Kindred,5,7,1,11260,51799,0,1359
Olaf,4,6,7,10325,119568,0,1359
Akali,7,7,2,13890,34207,0,1359
Leona,5,5,4,10510,39664,1,1430
Smolder,6,9,5,10500,84640,1,1430
Sett,6,8,12,24516,105550,1,1498
Diana,18,4,6,27797,176104,1,1498
Kennen,17,3,5,17480,106394,1,1347
TahmKench,8,2,17,20950,100873,1,1347
Jhin,9,7,3,14324,216870,1,2192
Zyra,4,9,9,11532,79400,1,2192
Caitlyn,10,1,0,9409,82649,1,1006
